ano,mes,PIB indústria,PIB serviços,gasolina,total,DU
1989,Janeiro,,,,"17,582,640.00","685,614.00"
1989,Fevereiro,,,,"16,054,636.00","724,491.00"
1989,Março,,,,"19,435,854.00","770,336.00"
1989,Abril,,,,"19,288,983.00","786,977.00"
1989,Maio,,,,"20,399,772.00","800,986.00"
1989,Junho,,,,"20,543,714.00","785,930.00"
1989,Julho,,,,"19,491,708.00","747,304.00"
1989,Agosto,,,,"21,369,032.00","788,212.00"
1989,Setembro,,,,"19,771,308.00","799,492.00"
1989,Outubro,,,,"20,823,461.00","806,657.00"
1989,Novembro,,,,"19,918,533.00","809,471.00"
1989,Dezembro,,,,"20,586,638.00","799,565.00"
1990,Janeiro,,,,"19,377,253.00","755,748.00"
1990,Fevereiro,,,,"17,246,090.00","770,900.00"
1990,Março,,,,"20,356,364.00","766,543.00"
1990,Abril,,,,"18,358,689.00","765,524.00"
1990,Maio,,,,"20,160,801.00","778,977.00"
1990,Junho,,,,"18,604,317.00","763,502.00"
1990,Julho,,,,"19,589,710.00","740,165.00"
1990,Agosto,,,,"21,285,712.00","791,776.00"
1990,Setembro,,,,"19,459,807.00","799,408.00"
1990,Outubro,,,,"20,692,383.00","802,075.00"
1990,Novembro,,,,"18,929,819.00","813,142.00"
1990,Dezembro,,,,"19,530,325.00","791,439.00"
1991,Janeiro,,,,"18,672,496.00","732,541.00"
1991,Fevereiro,,,,"16,827,373.00","757,748.00"
1991,Março,,,,"19,098,716.00","774,459.00"
1991,Abril,,,,"21,464,455.00","828,115.00"
1991,Maio,,,,"18,576,086.00","843,024.00"
1991,Junho,,,,"20,043,172.00","810,343.00"
1991,Julho,,,,"21,394,865.00","793,086.00"
1991,Agosto,,,,"21,667,249.00","822,813.00"
1991,Setembro,,,,"20,585,353.00","821,296.00"
1991,Outubro,,,,"22,063,197.00","827,495.00"
1991,Novembro,,,,"19,540,109.00","815,840.00"
1991,Dezembro,,,,"19,602,372.00","783,419.00"
1992,Janeiro,,,,"18,944,407.00","736,401.00"
1992,Fevereiro,,,,"18,401,454.00","762,283.00"
1992,Março,,,,"18,229,995.00","757,390.00"
1992,Abril,,,,"17,868,677.00","761,565.00"
1992,Maio,,,,"18,755,484.00","759,319.00"
1992,Junho,,,,"18,592,321.00","756,098.00"
1992,Julho,,,,"18,788,919.00","707,383.00"
1992,Agosto,,,,"18,246,170.00","730,823.00"
1992,Setembro,,,,"18,071,005.00","749,318.00"
1992,Outubro,,,,"18,956,285.00","752,549.00"
1992,Novembro,,,,"17,885,928.00","736,438.00"
1992,Dezembro,,,,"18,540,634.00","731,781.00"
1993,Janeiro,,,,"16,331,849.00","684,545.00"
1993,Fevereiro,,,,"15,770,169.00","724,267.00"
1993,Março,,,,"19,561,209.00","737,821.00"
1993,Abril,,,,"17,378,797.00","734,107.00"
1993,Maio,,,,"18,256,978.00","726,701.00"
1993,Junho,,,,"17,672,883.00","721,741.00"
1993,Julho,,,,"17,872,499.00","686,984.00"
1993,Agosto,,,,"18,285,212.00","710,073.00"
1993,Setembro,,,,"17,185,608.00","707,410.00"
1993,Outubro,,,,"17,353,029.00","718,298.00"
1993,Novembro,,,,"17,026,390.00","722,556.00"
1993,Dezembro,,,,"17,933,232.00","700,244.00"
1994,Janeiro,,,,"15,781,758.00","652,954.00"
1994,Fevereiro,,,,"14,933,284.00","689,211.00"
1994,Março,,,,"18,389,707.00","703,720.00"
1994,Abril,,,,"16,601,014.00","721,541.00"
1994,Maio,,,,"17,345,086.00","703,702.00"
1994,Junho,,,,"16,736,376.00","700,781.00"
1994,Julho,,,,"16,611,479.00","665,272.00"
1994,Agosto,,,,"18,978,385.00","717,996.00"
1994,Setembro,,,,"18,270,010.00","740,208.00"
1994,Outubro,,,,"17,945,705.00","751,267.00"
1994,Novembro,,,,"18,114,273.00","764,639.00"
1994,Dezembro,,,,"19,667,729.00","764,489.00"
1995,Janeiro,,,,"18,290,483.00","724,342.00"
1995,Fevereiro,,,,"17,220,174.00","787,272.00"
1995,Março,,,,"21,077,114.00","807,741.00"
1995,Abril,,,,"18,498,705.00","829,611.00"
1995,Maio,,,,"18,598,761.00","815,128.00"
1995,Junho,,,,"19,936,917.00","811,702.00"
1995,Julho,,,,"19,573,587.00","771,826.00"
1995,Agosto,,,,"21,193,182.00","805,263.00"
1995,Setembro,,,,"19,223,970.00","805,536.00"
1995,Outubro,,,,"19,923,742.00","809,343.00"
1995,Novembro,,,,"19,111,628.00","809,235.00"
1995,Dezembro,,,,"19,704,522.00","803,671.00"
1996,Janeiro,,,,"18,564,412.00","743,833.00"
1996,Fevereiro,,,,"17,689,165.00","781,693.00"
1996,Março,,,,"20,271,208.00","809,604.00"
